# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 7rm7_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.5870	66.29
2	1.1992	37.85
3	1.0415	28.55
4	1.1379	34.08
5	1.1630	35.60
6	1.0655	29.88
7	1.0375	28.33
8	1.2175	39.01
9	0.9779	25.17
10	1.0322	28.04
11	1.1684	35.93
12	1.2697	42.43
13	1.5784	65.57
14	1.5635	64.34
15	1.8441	89.50
16	1.9289	97.92
17	0.6616	11.52
18	0.6922	12.61
19	0.6780	12.10
20	0.6996	12.88
21	0.5730	8.64
22	0.5960	9.35
23	0.5465	7.86
24	0.5423	7.74
25	0.5746	8.69
26	0.6201	10.12
27	0.5105	6.86
28	0.5649	8.40
29	0.7047	13.07
30	0.5912	9.20
31	0.5447	7.81
32	0.5646	8.39
33	0.5412	7.71
34	0.5517	8.01
35	0.5822	8.92
36	0.5880	9.10
37	0.5558	8.13
38	0.6108	9.82
39	0.6544	11.27
40	0.6558	11.32
41	0.6301	10.45
42	0.6358	10.64
43	0.6477	11.04
44	0.6613	11.51
45	0.6130	9.89
46	0.6382	10.72
47	0.6480	11.05
48	0.5690	8.52
49	0.5870	9.07
50	0.7194	13.62
51	0.5720	8.61
52	0.5799	8.85
53	0.6124	9.87
54	0.5903	9.17
55	0.7017	12.96
56	0.6847	12.34
57	0.6786	12.12
58	0.6040	9.60
59	0.6699	11.81
60	0.5746	8.69
61	0.6271	10.35
62	0.5589	8.22
63	0.5437	7.78
64	0.5619	8.31
65	0.5935	9.27
66	0.5575	8.18
67	0.5585	8.21
68	0.6176	10.04
69	0.6027	9.56
70	0.6699	11.81
71	0.5612	8.29
72	0.5880	9.10
73	0.6477	11.04
74	0.6061	9.67
75	0.5710	8.58
76	0.6468	11.01
77	0.7223	13.73
78	0.6189	10.08
79	0.6707	11.84
80	0.5773	8.77
81	0.5944	9.30
82	0.5944	9.30
83	0.5649	8.40
84	0.6133	9.90
85	0.5578	8.19
86	0.5706	8.57
87	0.5527	8.04
88	0.5740	8.67
89	0.5857	9.03
90	0.5660	8.43
91	0.5616	8.30
92	0.5828	8.94
93	0.6679	11.74
94	0.6167	10.01
95	0.5779	8.79
96	0.5426	7.75
97	0.5335	7.49
98	0.6021	9.54
99	0.6424	10.86
100	0.6512	11.16
101	0.5964	9.36
102	0.5938	9.28
103	0.6775	12.08
104	0.6271	10.35
105	0.5619	8.31
106	0.5979	9.41
107	0.5306	7.41
108	0.5216	7.16
109	0.5098	6.84
110	0.5534	8.06
111	0.5234	7.21
112	0.5205	7.13
113	0.5223	7.18
114	0.5626	8.33
115	0.5248	7.25
116	0.5433	7.77
117	0.5867	9.06
118	0.5534	8.06
119	0.5447	7.81
120	0.5633	8.35
121	0.6310	10.48
122	0.6438	10.91
123	0.6806	12.19
124	0.7425	14.51
125	0.6216	10.17
126	0.6149	9.95
127	0.6093	9.77
128	0.6207	10.14
129	0.6074	9.71
130	0.6024	9.55
131	0.5951	9.32
132	0.6027	9.56
133	0.6005	9.49
134	0.6142	9.93
135	0.5838	8.97
136	0.5513	8.00
137	0.5660	8.43
138	0.6030	9.57
139	0.5970	9.38
140	0.5629	8.34
141	0.5426	7.75
142	0.5626	8.33
143	0.5759	8.73
144	0.5733	8.65
145	0.5602	8.26
146	0.5295	7.38
147	0.5759	8.73
148	0.5479	7.90
149	0.5205	7.13
150	0.5454	7.83
151	0.5713	8.59
152	0.5489	7.93
153	0.5633	8.35
154	0.6058	9.66
155	0.6289	10.41
156	0.5753	8.71
157	0.5245	7.24
158	0.5142	6.96
159	0.5223	7.18
160	0.5038	6.68
161	0.5374	7.60
162	0.5105	6.86
163	0.5176	7.05
164	0.5506	7.98
165	0.5726	8.63
166	0.5064	6.75
167	0.5454	7.83
168	0.5412	7.71
169	0.5465	7.86
170	0.5653	8.41
171	0.5861	9.04
172	0.6370	10.68
173	0.5944	9.30
174	0.5867	9.06
175	0.6008	9.50
176	0.6090	9.76
177	0.6136	9.91
178	0.7376	14.32
179	0.6325	10.53
180	0.6262	10.32
181	0.7682	15.53
182	0.8746	20.13
183	0.7238	13.79
184	0.6881	12.46
185	0.6158	9.98
186	0.6456	10.97
187	0.5835	8.96
188	0.6474	11.03
189	0.5779	8.79
190	0.5565	8.15
191	0.5954	9.33
192	0.5903	9.17
193	0.5890	9.13
194	0.5720	8.61
195	0.5825	8.93
196	0.5796	8.84
197	0.5925	9.24
198	0.5838	8.97
199	0.5815	8.90
200	0.5636	8.36
201	0.5585	8.21
202	0.5412	7.71
203	0.5423	7.74
204	0.5503	7.97
205	0.5360	7.56
206	0.5172	7.04
207	0.5472	7.88
208	0.5198	7.11
209	0.5310	7.42
210	0.5277	7.33
211	0.5686	8.51
212	0.5551	8.11
213	0.5360	7.56
214	0.5565	8.15
215	0.6241	10.25
216	0.6149	9.95
217	0.6033	9.58
218	0.6049	9.63
219	0.5782	8.80
220	0.5299	7.39
221	0.5267	7.30
222	0.5295	7.38
223	0.5267	7.30
224	0.5172	7.04
225	0.5172	7.04
226	0.5124	6.91
227	0.5317	7.44
228	0.5683	8.50
229	0.5489	7.93
230	0.5551	8.11
231	0.5198	7.11
232	0.5259	7.28
233	0.5482	7.91
234	0.6002	9.48
235	0.5653	8.41
236	0.5345	7.52
237	0.5551	8.11
238	0.5864	9.05
239	0.5527	8.04
240	0.5626	8.33
241	0.6225	10.20
242	0.6567	11.35
243	0.6584	11.41
244	0.7937	16.58
245	0.7770	15.89
