# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 7s86_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.5912	66.64
2	1.5065	59.73
3	1.5235	61.09
4	1.3119	45.30
5	1.1138	32.65
6	1.0257	27.69
7	0.8739	20.10
8	1.1515	34.90
9	1.3119	45.30
10	1.1817	36.75
11	1.1739	36.27
12	1.0042	26.54
13	0.9581	24.16
14	0.9937	25.99
15	0.9417	23.34
16	0.9215	22.35
17	1.1339	33.84
18	1.0296	27.90
19	1.0457	28.78
20	0.9573	24.12
21	1.0884	31.18
22	1.2627	41.96
23	1.2403	40.49
24	1.0855	31.01
25	1.2203	39.19
26	1.1742	36.29
27	1.1264	33.39
28	1.1844	36.92
29	1.1762	36.41
30	1.2081	38.41
31	1.0926	31.42
32	1.1419	34.32
33	1.1687	35.95
34	1.2203	39.19
35	1.1607	35.46
36	1.1866	37.06
37	1.1474	34.65
38	1.2342	40.09
39	1.1956	37.62
40	1.2283	39.71
41	1.2170	38.98
42	1.3048	44.81
43	1.3170	45.65
44	0.9880	25.69
45	0.9721	24.87
46	1.0949	31.55
47	0.9217	22.36
48	1.0625	29.71
49	1.0370	28.30
50	0.9941	26.01
51	1.0575	29.43
52	1.1102	32.44
53	1.2492	41.07
54	1.3956	51.26
55	1.4323	53.99
56	1.1457	34.55
57	1.0259	27.70
58	1.0274	27.78
59	1.0717	30.23
60	1.0751	30.42
61	1.0758	30.46
62	0.9581	24.16
63	0.9691	24.72
64	0.9383	23.17
65	1.0744	30.38
66	1.0104	26.87
67	1.1344	33.87
68	1.0432	28.64
69	1.1102	32.44
70	1.1334	33.81
71	1.0724	30.27
72	1.1094	32.39
73	0.9176	22.16
74	0.9874	25.66
75	0.9742	24.98
76	1.1075	32.28
77	0.9559	24.05
78	1.1090	32.37
79	1.0544	29.26
80	1.0417	28.56
81	0.9899	25.79
82	1.1984	37.80
83	1.1813	36.73
84	1.1459	34.56
