# RMSF derived from B-factors using Debye-Waller equation
# RMSF = sqrt(3 * B / (8 * π²))
# Source: 7wab_A.pdb
# Chain: A
# Normalized: False
ResIdx	RMSF	B_factor
1	1.2411	40.54
2	1.2754	42.81
3	1.1206	33.05
4	1.1121	32.55
5	1.1807	36.69
6	1.0019	26.42
7	1.0231	27.55
8	0.9775	25.15
9	1.0023	26.44
10	0.9603	24.27
11	0.9880	25.69
12	0.9413	23.32
13	1.0155	27.14
14	1.0719	30.24
15	1.0274	27.78
16	1.2121	38.67
17	1.2896	43.77
18	1.2008	37.95
19	1.1991	37.84
20	1.0421	28.58
21	1.0749	30.41
22	0.9849	25.53
23	0.9348	23.00
24	0.9843	25.50
25	0.9519	23.85
26	1.0468	28.84
27	1.0675	29.99
28	1.0676	30.00
29	1.0940	31.50
30	1.1141	32.67
31	1.1037	32.06
32	1.1371	34.03
33	1.1428	34.37
34	1.0937	31.48
35	1.1449	34.50
36	1.1214	33.10
37	1.0226	27.52
38	0.9841	25.49
39	0.9453	23.52
40	0.9051	21.56
41	0.9513	23.82
42	1.0159	27.16
43	1.1642	35.67
44	1.3342	46.85
45	1.3972	51.38
46	1.6031	67.64
47	1.5950	66.96
48	1.5678	64.69
49	1.4742	57.20
50	1.7512	80.71
51	1.8436	89.45
52	1.6698	73.38
53	1.6038	67.70
54	1.2373	40.29
55	1.1691	35.97
56	1.1721	36.16
57	1.3349	46.90
58	1.1992	37.85
59	1.2460	40.86
60	1.1804	36.67
61	1.0437	28.67
62	1.0397	28.45
63	1.0153	27.13
64	1.1216	33.11
65	0.9903	25.81
66	1.0360	28.25
67	1.1957	37.63
68	1.0874	31.12
69	1.0675	29.99
70	1.0325	28.06
71	0.9847	25.52
72	1.0426	28.61
73	0.9979	26.21
74	0.9928	25.94
75	1.0324	28.05
76	0.9057	21.59
77	0.9215	22.35
78	0.9145	22.01
79	0.9636	24.44
80	0.9497	23.74
81	0.9417	23.34
82	0.9555	24.03
83	0.9613	24.32
84	1.0774	30.55
85	0.9886	25.72
86	0.9686	24.69
87	1.0072	26.70
88	1.0728	30.29
89	0.9828	25.42
90	1.0214	27.46
91	0.8926	20.97
