kernel_id,op_site,op_kind,data_type,affects_training_label,criticality,current_determinism,replacement_strategy,epsilon_budget,owner,eta,status,pr_link
nhs_amber_fused.cu,528-530|713-714|2047,curand_init/curand_normal/curand_uniform,float32,trajectory_and_spike_timing,HIGH,bit-exact,seed_formula_review_and_two-run_trace_diff,0,engine,2026-05-17,accepted-as-is,
nhs_amber_fused.cu,780|790|797,atomicAdd_energy_and_spike_counters,uint32/int32,per_stream_spike_counts,HIGH,bit-exact,integer_counter_associativity_documented,0,engine,2026-05-17,accepted-as-is,
nhs_amber_fused.cu,859|861|868,atomicAdd_lif_event_counters,uint32/int32,time_window_hist_and_lif_counts,HIGH,bit-exact,integer_counter_associativity_documented,0,engine,2026-05-17,accepted-as-is,
nhs_amber_fused.cu,1061-1238|2553-2561|4765-4767,atomicAdd_force_and_pe_accumulators,float32,trajectory_coordinates_and_energy_channel,HIGH,bit-exact,atom_owned_incidence_force_gather_with_sorted_neighbor_lists_and_legacy_atomic_trap,0,engine,2026-05-16,done,
nhs_amber_fused.cu,1726|1784|1893|1900,atomicAdd_coupled_spike_and_voxel_grids,uint32/int32,spike_voxel_centroid_and_phase_ranker,HIGH,bit-exact,integer_counter_associativity_documented,0,engine,2026-05-17,accepted-as-is,
nhs_amber_fused.cu,1829|1855|1860|1867,atomicAdd_causal_residue_and_pair_counts,uint32/int32,cross_stream_phasor_coherence,HIGH,bit-exact,integer_counter_associativity_documented,0,engine,2026-05-17,accepted-as-is,
nhs_amber_fused.cu,3839|3891,atomicAdd_raf_coupling_field,float32,phase_manifold_coupling_and_next_step_thresholds,HIGH,bit-exact,phase_split_one_writer_per_voxel_neighbor_scan,0,engine,2026-05-16,done,
nhs_amber_fused.cu,2506|2513|2520,atomicAdd_ladd_and_work_accumulators,float32,therm_work_and_response_selectivity,HIGH,bit-exact,kernel_boundary_uv_phase_split_per_atom_external_work_components_fixed_reduce_ladd_integer_density_exact,0,engine,2026-05-16,done,
spike_density.cu,host_density_splat,ordered_density_grid,float64_to_float32,spike_density_teacher_map,HIGH,bit-exact,ordered_host_f64_splat_then_gpu_nms,0,engine,2026-05-16,done,
so3_project.cu,336-339,so3_shared_weight_reduce,float32,so3_alignment_and_phase_manifold,HIGH,bit-exact,warp_fixed_tree_reduce_then_lane0_commit,0,engine,2026-05-16,done,
so3_project.cu,798-803,center_of_mass_shift_reduce,float64_to_float32,alignment_reference_and_site_geometry,MEDIUM,bit-exact,single_block_256_lane_fixed_tree_com_reduce,0,engine,2026-05-16,done,
adjudicator.cu,600-602|618,unique_atom_force_pe_update,float32/float64,adjudication_labels_and_work_channel,HIGH,bit-exact,unique_atom_index_direct_write_no_cross_thread_reduction,0,engine,2026-05-16,done,
dynamic_t7.cu,74-76,dynamic_t7_accumulator,float64/uint32,t7_noise_floor_telemetry,MEDIUM,bit-exact,single_thread_ordered_accumulation_and_direct_apply,0,engine,2026-05-16,done,
ghost_tile_kernel.cu,119|499,atomicAdd_ghost_tile_counts,uint32,ghost_tile_event_inventory,MEDIUM,bit-exact,integer_counter_associativity_documented,0,engine,2026-05-17,accepted-as-is,
ghost_lattice_kernel_nvrtc.cu,125|131|177|183,atomicMin_union_and_stats,uint32,component_labels_and_lattice_stats,LOW,bit-exact,integer_min_and_counter_invariant,0,engine,2026-05-17,accepted-as-is,
lbvh_builder.cu,83|146|183|217|371,atomicAdd_lbvh_build_counters,uint32,spatial_index_build_only,LOW,bit-exact,integer_counter_associativity_documented,0,engine,2026-05-17,accepted-as-is,
prism-gpu/src/pme.rs,cuFFT_plan_and_execute,cuFFT,float32,pm_electrostatics_energy_and_force,MEDIUM,epsilon-stable,cufft_pinned_version_and_epsilon_budget_required,TBD,engine,2026-05-18,pending,
ultimate_md.cu,222,cooperative_groups_reduce,float32,ultimate_md_force_sum,MEDIUM,bit-exact,fixed_lane_order_warp_shuffle_tree,0,engine,2026-05-16,done,
ultimate_md.cu,491-493|557-559|828-833|841|935-937|942|1013,atomicAdd_force_and_energy,float32,ultimate_md_force_and_energy,MEDIUM,route-inactive,cli_default_off_and_nhs_rt_full_engine_run_does_not_dispatch_step_ultimate_teacher_path,route-inactive,engine,2026-05-16,accepted-as-is,
