formula,1jwp_top1,1jwp_rank,1jwp_best,1nna_top1,1nna_rank,1nna_best,1p38_top1,1p38_rank,1p38_best,2hnp_top1,2hnp_rank,2hnp_best,2npq_top1,2npq_rank,2npq_best,3l3n_top1,3l3n_rank,3l3n_best,5lar_top1,5lar_rank,5lar_best,SR@1,SR@3
burial*TCKL,4.6,1,4.6,19.2,25,4.9,21.9,3,4.6,0.0,1,0.0,32.9,21,5.8,4.6,1,4.6,9.6,13,3.4,3,4
"max(GTCKL,bTCKL)",4.6,1,4.6,19.2,25,4.9,21.9,3,4.6,0.0,1,0.0,32.9,13,5.8,4.6,1,4.6,9.6,13,3.4,3,4
geo*vcs,16.4,4,4.6,14.8,26,4.9,8.1,4,4.6,0.0,1,0.0,32.9,24,5.8,4.6,1,4.6,22.3,16,3.4,2,2
geomean,23.8,2,4.6,15.9,20,4.9,21.9,2,4.6,33.3,7,0.0,13.1,2,5.8,8.1,4,4.6,3.4,1,3.4,1,4
GTCKL,23.8,9,4.6,15.9,19,4.9,21.9,2,4.6,33.3,16,0.0,13.1,2,5.8,7.0,15,4.6,3.4,1,3.4,1,3
GTCKL*(1+bur),23.8,8,4.6,15.9,20,4.9,21.9,2,4.6,33.3,14,0.0,13.1,2,5.8,24.6,14,4.6,3.4,1,3.4,1,3
burial*T*K,4.6,1,4.6,22.0,22,4.9,21.9,4,4.6,36.4,2,0.0,18.1,23,5.8,26.7,23,4.6,13.4,12,3.4,1,2
burial*chem*vcs,16.4,6,4.6,19.2,24,4.9,15.9,8,4.6,10.0,3,0.0,32.9,27,5.8,4.6,1,4.6,9.6,25,3.4,1,2
aro*burial*T,4.6,1,4.6,19.2,23,4.9,21.9,3,4.6,28.9,7,0.0,21.6,29,5.8,15.8,24,4.6,9.6,23,3.4,1,2
bur*sph*T*K,4.6,1,4.6,29.7,21,4.9,21.9,2,4.6,28.1,13,0.0,21.6,13,5.8,15.8,35,4.6,16.7,14,3.4,1,2
drug*burial,27.8,5,4.6,19.2,22,4.9,23.1,6,4.6,0.0,1,0.0,30.3,32,5.8,15.8,25,4.6,24.4,20,3.4,1,1
chem*vcs*T*K,20.1,11,4.6,30.9,26,4.9,23.2,6,4.6,25.4,9,0.0,32.9,9,5.8,4.6,1,4.6,19.7,30,3.4,1,1
burial_G*TCKL,24.7,10,4.6,24.2,22,4.9,21.9,3,4.6,33.3,10,0.0,18.1,7,5.8,9.3,9,4.6,9.5,4,3.4,0,1
RF2:geo+chem,30.4,30,4.6,30.9,26,4.9,15.9,3,4.6,19.0,18,0.0,22.6,21,5.8,24.1,5,4.6,20.7,21,3.4,0,1
geo*chem,20.1,31,4.6,30.9,26,4.9,15.9,7,4.6,10.0,32,0.0,22.6,17,5.8,20.8,5,4.6,20.7,32,3.4,0,0
